id,first_name,last_name,full_name,published,redirect_from
shawn,Shawn,Allen,,TRUE,/team/shawn/
shawna-gregory,Shawna,Gregory,,TRUE,
shawnique,Shawnique,Muller,,FALSE,/team/shawnique/
smita,Smita,Satiani,,FALSE,/team/smita/
stacy-dion,Stacy,Dion,,TRUE,
stephanierivera,Stephanie,Rivera,,TRUE,/team/stephanierivera/
steven-harms,Steven,Harms,,FALSE,/team/steven-harms/
steven-reilly,Steven,Reilly,,TRUE,/team/steven-reilly/
stuart-drown,Stuart,Drown,,TRUE,
tadhg,Tadhg,O'Higgins,,TRUE,/team/tadhg/
tgrandison,Tyrone,Grandison,,TRUE,
theresa,Theresa,Summa,,TRUE,/team/theresa/
tim-ballard,Tim,Ballard,,TRUE,
timlowden,Tim,Lowden,,TRUE,
timothy-jones,Timothy,Jones,Tim Jones,FALSE,/team/timothy-jones/
tom-mills,Tom,Mills,,TRUE,/team/tom-mills/
uchenna-moka-solana,Uchenna,Moka-Solana,,TRUE,
unpublished-author,unpublished,author,Unpublished Author,FALSE,
valdiviezo,Victor,Valdiviezo,,FALSE,/team/valdiviezo/
vdavez,Dave,Zvenyach,V. David Zvenyach,TRUE,/team/vdavez/
vicki-mcfadden,Vicki,McFadden,,TRUE,
victor-udoewa,Victor,Udoewa,,TRUE,/team/victor-udoewa/
victor,Victor,Zapanta,Victor Diaz Zapanta,TRUE,/team/victor/
vraj-mohan,Vraj,Mohan,,FALSE,/team/vraj-mohan/
waldo-jaquith,Waldo,Jaquith,,TRUE,
will,Will,Slack,,TRUE,/team/will/
willsullivan,Will,Sullivan,,TRUE,/team/willsullivan/
yoz,Yoz,Grahame,,TRUE,/team/yoz/
yuda,John,Yuda,,TRUE,/team/yuda/
zaccohn,Zac,Cohn,,TRUE,/team/zaccohn/
